PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT
Freq%","TOV
Freq%","SF
Freq%","And One
Freq%","Score
Freq%",Percentile
Nikola Vučević,CHI,73,4.7,28.3,1.15,5.4,2.3,4.3,52.7,58.4,5.8,4.6,5.2,2.3,51.3,60.5
Domantas Sabonis,SAC,70,3.9,22.4,1.22,4.8,1.9,3.3,57.5,62.9,12,6.2,12,2.9,57.5,75.6
Jarrett Allen,CLE,82,3,28.9,1.31,4,1.7,2.4,68.5,68.5,16.8,7.6,16.4,4.4,66,86.5
Myles Turner,IND,72,4,27.9,1.11,4.5,1.6,3.4,46.9,54.7,12.4,5.9,12.1,2.8,49.3,53.8
Ivica Zubac,LAC,80,2.9,19.6,1.25,3.6,1.6,2.5,66.5,66.5,7.9,7.5,7.9,1.8,62.7,78.2
Nikola Jokić,DEN,70,3.1,12,1.29,3.9,1.5,2.5,58.2,65,14,6.1,11.7,2.8,59.3,83.5
Brook Lopez,MIL,80,2.8,24.2,1.2,3.3,1.2,2.5,49,59,9.5,2.7,9.5,2.3,51.4,72.6
Alperen Sengun,HOU,76,3.7,18.2,0.94,3.5,1.4,3,46.7,47.8,12.9,7.2,12.5,2.2,47.7,29.3
Onyeka Okongwu,ATL,74,2.7,22.7,1.28,3.4,1.4,2.1,64.8,66.4,17.2,6.6,17.2,4,64.6,82.3
Karl-Anthony Towns,NYK,72,2.8,12.6,1.25,3.4,1.2,2.2,55,61.3,17.2,5.6,16.7,3.5,58.1,78.6
Bam Adebayo,MIA,78,3.3,17.9,0.96,3.1,1.3,2.8,47,49.3,9.8,7.5,9.8,2,47.2,32.3
Anthony Davis,LAL,42,4.5,19.2,1.23,5.5,2.2,4,56,60.5,11.1,5.3,10.5,3.7,56.3,75.9
Jakob Poeltl,TOR,57,3.3,24.9,1.2,4,1.9,2.9,63.9,63.9,6.9,6.4,5.9,1.6,60.6,71.8
Alex Sarr,WAS,67,4,26.3,0.79,3.1,1.2,3.5,33.6,39.9,7.1,6.7,6.7,0.4,35.4,13.2
Yves Missi,NOP,73,2.5,27.4,1.11,2.8,1.1,1.9,59.1,59.1,21.4,7.1,20.9,3.8,57.1,55.6
Kristaps Porziņģis,BOS,42,3.7,21.6,1.27,4.7,1.6,3.2,50.4,63.3,12.3,4.5,12.3,3.9,51.6,80.8
Rudy Gobert,MIN,72,2.3,22.3,1.21,2.7,1.1,1.6,66.7,66.7,21.6,9.9,21,3.7,63,73.7
Victor Wembanyama,SAS,46,3.5,15,1.17,4.1,1.5,3.1,48.6,58.3,9.8,6.1,9.8,4.3,47.9,65.4
Mark Williams,CHA,44,3.9,28.8,1.09,4.2,1.5,2.9,53.5,53.5,21.2,8.8,20.6,4.7,55.9,52.6
Guerschon Yabusele,PHI,70,2.3,23,1.12,2.6,1,2.1,48,57.8,4.9,4.9,4.9,0.6,47.2,56.4
Deandre Ayton,POR,40,4,28.1,1.13,4.5,2.1,3.5,58.2,59.2,6.9,6.3,5.7,1.9,56.6,56.8
Kel'el Ware,MIA,64,2.1,24,1.2,2.5,1.1,1.8,59.8,61.5,9.8,5.3,9.8,3,59.4,72.9
Jalen Duren,DET,78,1.6,16,1.21,2,0.8,1.2,69.9,69.9,19.7,11,18.9,3.9,63,74.8
Jonas Valančiūnas,WAS,49,2.6,23.1,1.15,3,1.3,2.3,54.9,56.2,10.9,4.7,10.9,3.1,55.8,61.3
Naz Reid,MIN,80,1.8,12.9,1.05,1.9,0.7,1.5,42.3,53.3,8.5,6.4,8.5,2.1,42.6,43.6
Nic Claxton,BKN,70,1.8,16.9,1.06,1.9,0.8,1.4,59,59,15.4,5.7,13.8,2.4,55.3,45.9
Jalen Smith,CHI,64,1.7,22.9,1.16,2,0.8,1.6,49,58,9,4.5,9,3.6,49.5,63.9
Clint Capela,ATL,55,2.1,24.3,1.06,2.3,1,1.8,56,56,11.1,4.3,10.3,0.9,54.7,46.6
Daniel Gafford,DAL,57,1.8,18.7,1.16,2.1,1,1.6,62.9,62.9,8.7,7.7,8.7,1.9,60.6,65
Joel Embiid,PHI,19,5.9,24.7,1.07,6.4,2.1,4.4,47,54.2,15,12.4,15,0.9,48.7,49.6
Wendell Carter Jr.,ORL,68,1.7,18,1.03,1.8,0.7,1.3,49.5,52.7,17.1,6.8,16.2,1.7,52.1,41.4
Tristan Vukcevic,WAS,35,2.7,29.7,1.28,3.4,1.2,2.3,51.9,62,16.1,5.4,16.1,6.5,53.8,82
Nick Richards,PHX,36,2.5,28.7,1.28,3.2,1.4,2,69,69,16.7,10,16.7,5.6,64.4,81.6
Walker Kessler,UTA,58,1.9,19.4,1.04,2,0.9,1.6,57.8,57.8,11.8,10.9,11.8,4.5,52.7,42.8
Julius Randle,MIN,69,1.4,7.7,1.09,1.6,0.6,1.1,50,60.3,9.1,14.1,9.1,2,46.5,51.9
Moussa Diabaté,CHA,71,1.3,22.7,1.2,1.5,0.7,1,68.6,68.6,14.6,12.4,14.6,5.6,61.8,72.2
Jaxson Hayes,LAL,56,1.4,24.8,1.37,1.9,0.8,1.2,72.3,72.3,19.7,2.6,19.7,7.9,71.1,91.4
Jeremy Sochan,SAS,54,1.6,14.1,1.21,1.9,0.8,1.3,59.2,59.2,19.8,5.8,19.8,8.1,59.3,73.3
Thomas Bryant,IND,56,1.4,22.7,1.31,1.8,0.7,1.3,52.8,61.1,11.5,0,11.5,3.8,56.4,86
Isaiah Stewart,DET,72,1.2,20.4,1.16,1.4,0.6,1,58.9,62.3,9.3,8.1,9.3,2.3,55.8,64.7
Lauri Markkanen,UTA,47,2.1,11.8,0.97,2.1,0.6,1.9,34.1,48.3,7,6,5,1,36,33.1
Toumani Camara,POR,78,0.9,7.7,1.37,1.2,0.4,0.7,59.6,72.8,11.8,7.4,11.8,2.9,57.4,91
Goga Bitadze,ORL,70,1.1,17,1.16,1.3,0.6,0.9,60.6,60.6,12.5,6.3,11.3,1.3,61.3,64.3
Donovan Clingan,POR,67,1.3,19.5,1.01,1.3,0.6,1.1,49.4,50,9.1,4.5,8,1.1,51.1,39.1
Brandon Clarke,MEM,64,1,14.8,1.28,1.3,0.6,1,60.7,60.7,14.9,0,14.9,6,64.2,82.7
Luke Kornet,BOS,73,0.9,18.1,1.33,1.2,0.5,0.7,67.3,67.3,21.9,6.3,21.9,4.7,68.8,87.6
Mason Plumlee,PHX,74,0.9,20.9,1.25,1.1,0.4,0.6,72.1,72.1,26.9,16.4,26.9,7.5,62.7,78.9
Georges Niang,ATL,28,2.6,23,1.14,3,1,2.4,43.3,58.2,4.1,5.5,2.7,1.4,42.5,58.3
Jaren Jackson Jr.,MEM,74,1,4.6,1.16,1.1,0.4,0.9,49.2,59.2,4.2,5.6,4.2,1.4,47.9,63.2
Trayce Jackson-Davis,GSW,62,1.3,19.9,1.05,1.3,0.6,1,55.4,55.4,11.5,6.4,11.5,1.3,55.1,44.7
John Collins,UTA,40,1.8,10.3,1.1,2,0.8,1.5,50.8,55.9,13.7,11,13.7,5.5,47.9,53
Oso Ighodaro,PHX,61,1.3,32,1.01,1.3,0.6,1.1,53.7,53.7,10.1,7.6,10.1,2.5,51.9,39.5
Kevin Durant,PHX,62,1.1,4.5,1.18,1.3,0.4,0.9,49.1,57.5,16.7,7.6,12.1,4.5,51.5,68.9
Paolo Banchero,ORL,46,1.7,6.4,0.97,1.7,0.5,1.1,40.4,44.2,25.6,10.3,24.4,2.6,50,33.5
Al Horford,BOS,60,1.3,15,0.95,1.3,0.5,1.2,37.5,48.6,3.8,6.3,2.5,1.3,36.7,30.1
Adem Bona,PHI,58,1.1,21.2,1.18,1.3,0.5,0.7,69.8,69.8,22.2,12.7,20.6,3.2,65.1,67.3
Karlo Matković,NOP,42,1.5,20.8,1.18,1.7,0.8,1.3,59.3,63.9,3.3,8.2,1.6,0,55.7,68
Jayson Tatum,BOS,72,1,3.9,0.99,1,0.3,0.8,37.7,47.5,11,6.8,11,1.4,41.1,34.6
Sandro Mamukelashvili,SAS,61,1,18.6,1.13,1.1,0.4,0.9,45.6,58.8,3.2,4.8,1.6,0,45.2,57.1
Andre Drummond,PHI,40,1.8,21.5,0.99,1.8,0.8,1.4,53.6,53.6,12.7,11.3,12.7,2.8,50.7,34.2
Richaun Holmes,WAS,31,1.5,23.9,1.53,2.2,0.8,1.1,76.5,76.5,26.7,4.4,24.4,6.7,77.8,97
Obi Toppin,IND,79,0.7,7.4,1.3,0.9,0.3,0.6,52.2,67.4,9.4,5.7,9.4,1.9,52.8,85.3
Zach Collins,CHI,28,1.8,22.4,1.31,2.4,0.9,1.4,64.1,73.1,11.8,13.7,11.8,2,58.8,86.8
Bismack Biyombo,SAS,28,1.9,35.1,1.25,2.4,1.1,1.6,70.5,70.5,9.4,7.5,9.4,0,64.2,77.8
Moritz Wagner,ORL,30,2.4,20.5,0.93,2.2,0.9,1.9,45.6,48.2,16.9,11.3,15.5,8.5,45.1,27.8
Dereck Lively II,DAL,36,1.6,21,1.16,1.8,0.8,1.2,61.4,61.4,17.9,8.9,17.9,5.4,60.7,63.5
Jalen Johnson,ATL,36,1.7,8.7,1.07,1.8,0.8,1.5,50.9,51.9,13.1,6.6,13.1,6.6,50.8,48.9
Jonathan Mogbo,TOR,63,0.8,11,1.25,1,0.4,0.7,62.2,62.2,11.8,5.9,11.8,5.9,60.8,79.3
Miles Bridges,CHA,64,0.9,4.1,1.15,1,0.4,0.8,51,58.2,9.1,7.3,9.1,5.5,49.1,60.9
Daniel Theis,NOP,38,1.6,34.3,1.05,1.6,0.6,1.2,51.1,55.3,10.2,10.2,10.2,0,50.8,44.4
Orlando Robinson,TOR,35,1.9,20.2,0.95,1.8,0.7,1.6,47.3,49.1,6.2,9.2,4.6,0,46.2,30.5
Kyle Filipowski,UTA,72,0.9,9.7,0.92,0.8,0.4,0.9,43.5,46.8,6.1,3,6.1,3,43.9,25.6
Jock Landale,HOU,42,1.3,28.4,1.11,1.4,0.6,1.1,51.1,54.3,11.1,3.7,11.1,1.9,53.7,54.5
Neemias Queta,BOS,62,0.8,17.3,1.25,1,0.4,0.6,66.7,66.7,10.6,8.5,10.6,2.1,63.8,79.7
Trey Lyles,SAC,69,1,14.8,0.88,0.9,0.3,0.9,30.5,40.7,9,3,9,0,35.8,21.1
Scottie Barnes,TOR,65,0.8,3.6,1.14,0.9,0.4,0.6,57.5,57.5,14.3,6.1,14.3,2,59.2,59.5
Dyson Daniels,ATL,76,0.8,5.4,0.9,0.7,0.4,0.7,50.9,51.9,1.6,12.9,1.6,0,45.2,22.3
Jusuf Nurkić,PHX,25,2.5,24.9,0.89,2.2,0.7,1.8,37.8,42.2,19,11.1,19,1.6,42.9,21.4
Precious Achiuwa,NYK,57,1,14.3,0.95,1,0.4,0.9,45.1,46.1,8.6,5.2,8.6,1.7,46.6,29.7
DeAndre Jordan,DEN,56,0.8,21.5,1.2,1,0.4,0.6,69.7,69.7,17.8,8.9,17.8,0,66.7,71.2
Nick Richards,CHA,21,2.2,24.6,1.17,2.6,1,1.6,63.6,63.6,21.7,10.9,21.7,4.3,63,66.9
Jaylin Williams,OKC,47,1.2,20.4,0.96,1.1,0.4,1.1,38.5,49,1.8,3.6,1.8,0,38.2,32
Ryan Dunn,PHX,74,0.6,8.2,1.18,0.7,0.3,0.5,55,61.3,4.5,4.5,4.5,0,54.5,68.9
LeBron James,LAL,70,0.7,3.1,0.98,0.7,0.3,0.7,43.5,48.9,5.8,7.7,5.8,1.9,42.3,33.8
Draymond Green,GSW,69,0.9,8.3,0.82,0.7,0.3,0.7,45.8,50,4.8,21,4.8,3.2,37.1,15.8
Jusuf Nurkić,CHA,26,1.7,17.7,1.11,1.9,0.8,1.5,53.8,59,13.3,4.4,13.3,4.4,53.3,54.5
Derrick Jones Jr.,LAC,77,0.6,6.6,1.06,0.6,0.2,0.5,47.2,52.8,21.3,6.4,19.1,4.3,53.2,48.1
Christian Braun,DEN,79,0.5,3.7,1.32,0.6,0.3,0.4,69,69,16.2,8.1,16.2,2.7,67.6,87.2
Day'Ron Sharpe,BKN,50,1.1,12.7,0.93,1,0.5,1,46,48,1.9,5.7,1.9,1.9,43.4,25.9
Trey Murphy III,NOP,53,0.7,3.8,1.23,0.9,0.3,0.7,42.9,58.6,10.3,2.6,10.3,2.6,46.2,76.6
Quinten Post,GSW,42,1,13.8,1.09,1.1,0.4,1,45,60,0,9.1,0,0,40.9,51.9
Rui Hachimura,LAL,59,0.9,8.1,0.87,0.8,0.3,0.8,36.2,44.7,9.1,7.3,9.1,1.8,36.4,19.2
Charles Bassey,SAS,36,1.1,24.8,1.24,1.3,0.6,1,65.7,65.7,2.6,5.3,2.6,0,63.2,77.1
Kevon Looney,GSW,76,0.6,12.5,1.04,0.6,0.3,0.5,50,50,11.1,2.2,11.1,2.2,53.3,42.1
De'Andre Hunter,ATL,37,1.1,6.3,1.15,1.2,0.5,0.9,51.4,60,5,7.5,5,0,50,62.4
Josh Hart,NYK,77,0.5,4.1,1.07,0.6,0.2,0.4,53.1,56.3,11.9,11.9,11.9,0,52.4,50.2
Drew Eubanks,UTA,37,1,18,1.19,1.2,0.5,0.8,60,60,16.2,2.7,16.2,0,62.2,69.8
Tobias Harris,DET,73,0.5,3.9,1.19,0.6,0.2,0.4,50,57.8,10.8,5.4,10.8,2.7,51.4,69.8
Gary Payton II,GSW,62,0.5,9.7,1.26,0.7,0.3,0.5,66.7,68.3,5.9,8.8,2.9,2.9,61.8,80.1
Jabari Smith Jr.,HOU,57,0.7,5.5,1.13,0.8,0.3,0.6,42.9,57.1,7.9,2.6,7.9,2.6,42.1,57.5
Zach Collins,SAS,36,1.2,25.4,1,1.2,0.4,1,41.7,47.2,14,7,14,4.7,44.2,36.3
Devin Booker,PHX,75,0.5,2.1,1.08,0.6,0.2,0.5,44.1,48.5,15.4,2.6,15.4,5.1,48.7,50.9
Corey Kispert,WAS,61,0.7,6.3,1,0.7,0.3,0.7,42.5,51.2,2.4,2.4,2.4,0,42.9,36.3
Max Strus,CLE,50,0.5,5.7,1.64,0.8,0.3,0.5,56.5,82.6,4,4,4,0,56,98.9
Tim Hardaway Jr.,DET,77,0.4,4.2,1.21,0.5,0.1,0.4,39.3,51.8,15.2,3,15.2,3,45.5,74.3
Mikal Bridges,NYK,82,0.4,2.4,1.21,0.5,0.2,0.4,56.7,66.7,0,9.1,0,0,51.5,74.3
Jonas Valančiūnas,SAC,32,1.3,16.3,0.93,1.3,0.6,1.2,48.6,50,4.7,9.3,4.7,0,46.5,28.2
Franz Wagner,ORL,60,0.6,2.4,1.11,0.7,0.2,0.5,37.9,46.6,17.1,0,17.1,0,48.6,55.3
Malik Beasley,DET,82,0.5,3.2,1.03,0.5,0.2,0.5,35.1,50,2.6,0,0,0,36.8,39.8
Jay Huff,MEM,64,0.7,11.5,0.93,0.6,0.2,0.5,38.2,51.5,7.1,14.3,7.1,2.4,35.7,26.9
Noah Clowney,BKN,46,1.2,11.6,0.72,0.8,0.3,0.9,27.9,32.6,13.2,7.5,13.2,1.9,32.1,7.9
Robert Williams III,POR,20,1.3,25.5,1.42,1.9,0.9,1.2,73.9,73.9,7.7,7.7,7.7,3.8,69.2,94
Jaden McDaniels,MIN,82,0.4,3.4,1.12,0.5,0.2,0.4,53.3,55,9.1,3,9.1,3,54.5,56
Sam Merrill,CLE,71,0.5,7.4,1.06,0.5,0.2,0.5,37.1,52.9,0,0,0,0,37.1,46.2
Julian Champagnie,SAS,82,0.4,4.7,1.03,0.5,0.2,0.4,43.3,53.3,5.6,11.1,5.6,0,41.7,40.2
Klay Thompson,DAL,72,0.4,2.8,1.29,0.5,0.2,0.3,52,70,3.6,7.1,3.6,0,50,83.1
Anthony Davis,DAL,9,4.3,20.1,0.92,4,1.8,4,44.4,45.8,7.7,5.1,7.7,5.1,43.6,25.2
Aaron Gordon,DEN,51,0.5,4.2,1.3,0.7,0.3,0.4,70,75,14.8,11.1,14.8,0,66.7,84.6
Austin Reaves,LAL,73,0.4,2.2,1.17,0.5,0.2,0.4,48.1,55.6,10,6.7,10,6.7,46.7,66.3
Grayson Allen,PHX,64,0.5,5.5,1.03,0.5,0.2,0.4,48,60,8.8,17.6,8.8,0,44.1,40.6
Brice Sensabaugh,UTA,71,0.3,2.9,1.62,0.5,0.2,0.3,61.1,80.6,19,4.8,19,9.5,61.9,98.5
Dorian Finney-Smith,LAL,43,0.7,9.2,1.13,0.8,0.3,0.6,44.4,61.1,3.3,10,3.3,3.3,40,57.9
Georges Niang,CLE,51,0.6,8.1,1.03,0.7,0.3,0.6,43.3,51.7,6.1,6.1,6.1,3,42.4,41
Mo Bamba,LAC,28,1.3,28,0.92,1.2,0.4,1.1,37.5,46.9,8.1,8.1,8.1,2.7,37.8,24.5
Peyton Watson,DEN,68,0.5,6.8,0.92,0.5,0.2,0.4,50,50,21.6,8.1,21.6,5.4,45.9,24.5
Harrison Barnes,SAS,82,0.3,3.4,1.18,0.4,0.1,0.3,52.4,61.9,14.3,10.7,14.3,0,53.6,67.7
P.J. Washington,DAL,57,0.5,3.5,1.06,0.6,0.2,0.5,46.2,55.8,6.5,9.7,3.2,0,45.2,48.5
Kentavious Caldwell-Pope,ORL,77,0.4,4.4,1.14,0.4,0.1,0.3,44,58,7.1,7.1,7.1,3.6,42.9,59.5
Bogdan Bogdanović,ATL,24,0.9,8,1.41,1.3,0.5,0.8,57.9,81.6,0,13.6,0,0,50,93.6
Zion Williamson,NOP,30,0.8,3.6,1.24,1,0.4,0.6,63.2,63.2,28,4,28,8,64,77.4
Luguentz Dort,OKC,71,0.4,3.9,1.19,0.4,0.2,0.4,44,58,3.8,0,3.8,0,46.2,70.3
Kelly Olynyk,TOR,24,1.1,15.6,1.15,1.3,0.5,1,50,58.3,7.4,3.7,7.4,0,51.9,61.9
Michael Porter Jr.,DEN,77,0.4,2.2,1.15,0.4,0.2,0.3,50,56.3,11.1,3.7,11.1,3.7,51.9,61.9
Larry Nance Jr.,ATL,24,1.2,15.8,1.11,1.3,0.5,1.1,50,55.8,10.7,0,10.7,3.6,53.6,53.4
