PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT
Freq%","TOV
Freq%","SF
Freq%","And One
Freq%","Score
Freq%",Percentile
Tidjane Salaün,CHA,60,0.2,2.9,1.39,0.3,0.1,0.2,44.4,66.7,23.1,7.7,23.1,0,53.8,100
Lonnie Walker IV,PHI,20,1.1,8.4,1.38,1.5,0.5,0.9,58.8,67.6,23.8,4.8,23.8,9.5,61.9,99.6
D'Angelo Russell,LAL,29,0.6,4.4,1.35,0.8,0.3,0.5,57.1,71.4,11.8,11.8,11.8,5.9,52.9,99.3
Christian Braun,DEN,79,0.2,1.8,1.33,0.3,0.1,0.2,66.7,70.8,22.2,11.1,22.2,0,66.7,98.9
Marcus Smart,WAS,15,1.1,11.2,1.31,1.4,0.6,1,60,66.7,6.3,6.3,6.3,6.3,56.3,98.5
Keegan Murray,SAC,76,0.2,1.3,1.25,0.2,0.1,0.2,58.3,62.5,0,0,0,0,58.3,98.2
Ty Jerome,CLE,70,0.6,5.5,1.24,0.7,0.2,0.4,58.6,70.7,19,14.3,19,2.4,54.8,97.8
Jose Alvarado,NOP,56,0.7,5.8,1.22,0.8,0.3,0.6,48.4,59.7,13.5,5.4,13.5,2.7,51.4,97.4
Tre Mann,CHA,13,1.8,12.4,1.21,2.2,1,1.6,61.9,66.7,4.2,8.3,4.2,0,58.3,97
Tre Jones,CHI,18,0.6,5.7,1.2,0.7,0.3,0.5,55.6,55.6,10,0,10,0,60,96.7
Amir Coffey,LAC,72,0.1,1.6,1.2,0.2,0.1,0.1,50,55,10,0,10,10,50,96.7
Nick Smith Jr.,CHA,60,0.7,6.4,1.19,0.9,0.3,0.6,51.4,54.1,14,2.3,14,2.3,55.8,95.9
Jared McCain,PHI,23,1,6.5,1.18,1.1,0.5,0.8,61.1,61.1,9.1,9.1,9.1,0,59.1,95.6
Kelly Olynyk,NOP,20,0.6,5,1.18,0.7,0.2,0.4,57.1,57.1,27.3,9.1,18.2,0,63.6,95.6
Jaime Jaquez Jr.,MIA,66,0.8,9,1.18,1,0.4,0.7,55.8,57,23.2,8.9,21.4,8.9,57.1,94.8
Nikola Vučević,CHI,73,0.2,1.4,1.18,0.3,0.1,0.2,56.3,56.3,5.9,0,5.9,0,58.8,94.5
Brandon Williams,DAL,33,0.9,11.8,1.17,1.1,0.4,0.6,63.2,65.8,23.3,20,16.7,6.7,56.7,94.1
Kris Dunn,LAC,74,0.2,2.3,1.17,0.2,0.1,0.1,66.7,72.2,8.3,16.7,8.3,0,58.3,94.1
De'Aaron Fox,SAS,17,3.7,17.9,1.16,4.3,1.5,2.9,52,54,17.5,6.3,15.9,3.2,55.6,93.4
Kevin Durant,PHX,62,4.5,18.9,1.16,5.2,1.9,3.4,55.8,57.5,18.1,10.8,16.6,4,55.6,93
Zach LaVine,CHI,42,3.6,16.6,1.15,4.1,1.5,3,48.4,57.1,12,6,12,2,50.7,92.6
Kyle Anderson,GSW,36,0.4,7.5,1.13,0.5,0.2,0.4,53.8,53.8,13.3,6.7,6.7,6.7,53.3,92.3
T.J. McConnell,IND,79,0.5,4.9,1.13,0.5,0.3,0.4,60,60,2.6,5.3,2.6,0,57.9,91.9
Cam Thomas,BKN,25,2.8,11.9,1.13,3.1,1.1,2.4,45.9,54.1,10.1,4.3,8.7,2.9,47.8,91.5
Marcus Sasser,DET,57,0.5,8.3,1.13,0.6,0.2,0.4,48,62,16.1,12.9,16.1,9.7,45.2,91.1
Deni Avdija,POR,72,1,5.8,1.13,1.1,0.4,0.7,52.9,56.9,24.3,8.6,21.4,5.7,55.7,90.8
Dennis Schröder,DET,28,1.7,14.2,1.13,1.9,0.6,1.2,50,54.4,21.3,10.6,17,4.3,53.2,90.4
Devin Vassell,SAS,64,1.2,7.6,1.11,1.4,0.5,1.1,50,57.1,5.1,6.4,5.1,1.3,48.7,90
Talen Horton-Tucker,CHI,58,0.3,4.8,1.11,0.3,0.1,0.2,50,64.3,11.1,11.1,11.1,0,50,89.6
Santi Aldama,MEM,65,0.3,2.4,1.11,0.3,0.1,0.2,50,54.2,22.2,11.1,22.2,0,55.6,89.6
Shai Gilgeous-Alexander,OKC,76,7,25.1,1.1,7.7,2.7,5.7,46.4,50.8,16.1,4.7,14.3,2.4,51.4,88.9
Tyus Jones,PHX,81,0.3,2.6,1.09,0.3,0.1,0.3,52.4,54.8,0,0,0,0,52.4,88.6
John Collins,UTA,40,0.8,4.5,1.09,0.9,0.3,0.6,52.2,52.2,18.8,12.5,18.8,3.1,53.1,88.2
Cameron Johnson,BKN,57,0.8,4.9,1.09,0.9,0.3,0.6,45.7,52.9,17.4,8.7,17.4,2.2,50,87.8
Kyle Kuzma,MIL,33,0.8,4.9,1.08,0.8,0.3,0.6,57.9,65.8,4,20,4,0,48,87.5
Devin Booker,PHX,75,2.2,9,1.07,2.4,0.9,1.8,48.9,52.2,13.9,8.5,12.1,4.2,49.7,87.1
Jalen Brunson,NYK,65,4.1,17.3,1.07,4.4,1.6,3.3,49.3,54,16,10.1,14.6,5.6,48.9,86.7
D'Angelo Russell,BKN,29,1,6.8,1.07,1.1,0.3,0.8,37.5,50,13.8,3.4,6.9,0,44.8,86.3
Jimmy Butler III,GSW,30,2.5,15.4,1.07,2.6,0.6,1.5,39.1,41.3,35.1,8.1,35.1,5.4,52.7,86
Luka Dončić,LAL,28,6.2,22.6,1.06,6.6,2,4.9,40.9,48.9,18.4,8,18.4,5.2,45.4,85.6
Kyrie Irving,DAL,50,5.1,22.4,1.06,5.4,2,4.5,44.2,51.1,8.6,5.5,7.8,2,45.5,85.2
Seth Curry,CHA,68,0.2,4.1,1.06,0.3,0.1,0.2,50,53.6,12.5,12.5,12.5,12.5,43.8,84.9
James Harden,LAC,79,8.5,36.1,1.06,9,2.4,6.2,39.2,48,20.2,10.3,19.6,3.6,45.2,84.5
Quentin Grimes,PHI,28,2.4,11.2,1.06,2.5,0.9,1.9,45.3,52.8,15.2,7.6,13.6,3,48.5,84.1
Aaron Wiggins,OKC,76,0.5,4.2,1.06,0.5,0.2,0.4,46.7,51.7,11.4,5.7,11.4,2.9,48.6,83.7
Anthony Black,ORL,78,0.4,4.1,1.06,0.5,0.2,0.3,55.6,57.4,14.3,11.4,11.4,2.9,54.3,83.7
Luka Dončić,DAL,22,4,14.8,1.06,4.3,1.6,3.5,46.1,55.9,7.9,9,7.9,2.2,44.9,83
Pascal Siakam,IND,78,1.7,9.2,1.05,1.8,0.7,1.4,51.8,53.6,10.6,7.6,9.8,3,51.5,82.7
Bilal Coulibaly,WAS,59,0.7,4.8,1.05,0.7,0.2,0.5,48.1,50,27.5,12.5,25,7.5,52.5,82.2
Rui Hachimura,LAL,59,0.3,3,1.05,0.4,0.1,0.2,57.1,57.1,15,15,15,0,55,82.2
Harrison Barnes,SAS,82,0.5,5,1.05,0.5,0.1,0.3,37,38.9,31.7,4.9,31.7,2.4,53.7,81.5
Anthony Davis,LAL,42,2.5,10.6,1.05,2.6,0.9,2,45.9,45.9,20,3.8,20,4.8,52.4,81.2
Ryan Rollins,MIL,56,0.4,6.4,1.04,0.4,0.2,0.3,56.3,56.3,13.6,13.6,13.6,0,54.5,80.8
Kyle Anderson,MIA,25,1,14.7,1.04,1,0.4,0.7,55.6,55.6,16,12,16,0,56,80.4
Domantas Sabonis,SAC,70,0.4,2.1,1.04,0.4,0.1,0.3,50,50,19.2,7.7,15.4,3.8,53.8,80.1
Keldon Johnson,SAS,77,0.7,6,1.04,0.8,0.3,0.6,46.8,50,12.5,5.4,10.7,1.8,50,79.7
Paul George,PHI,41,3.5,20.1,1.03,3.6,1.5,3,49.6,56.2,6.3,11.1,6.3,1.4,46.5,79.3
De'Andre Hunter,CLE,27,1.1,9.1,1.03,1.1,0.4,0.9,47.8,50,13.3,10,13.3,0,50,79
Austin Reaves,LAL,73,1.6,8.8,1.02,1.7,0.5,1.3,41.5,47.9,16,8.4,16,3.4,45.4,78.6
Jalen Duren,DET,78,0.6,6.2,1.02,0.6,0.2,0.4,58.1,58.1,20.4,20.4,18.4,4.1,53.1,78.2
Jayson Tatum,BOS,72,6.7,25.9,1.01,6.7,2.3,5.6,42,48,12.5,6,11.7,2.3,44.8,77.9
Spencer Dinwiddie,DAL,79,2.5,22.8,1,2.6,0.9,2,43.1,48.4,16.9,7,16.4,3.5,46.8,77.5
Jimmy Butler III,MIA,25,1.8,12.4,1,1.8,0.6,1.4,44.1,47.1,22.2,2.2,22.2,0,53.3,75.8
Trendon Watford,BKN,44,0.9,8.4,1,0.9,0.4,0.7,54.8,54.8,19.5,14.6,17.1,9.8,48.8,75.8
Brandon Miller,CHA,27,1.4,6.1,1,1.4,0.5,1.1,41.9,45.2,16.2,5.4,16.2,5.4,45.9,75.8
Rob Dillingham,MIN,49,0.6,10.7,1,0.6,0.3,0.5,52,54,3.4,10.3,3.4,0,48.3,75.8
Bones Hyland,LAC,20,1.4,18.8,1,1.4,0.5,1.2,39.1,50,10.7,7.1,10.7,0,42.9,75.8
Toumani Camara,POR,78,0.3,2.6,1,0.3,0.1,0.3,42.9,50,4.3,4.3,4.3,0,43.5,75.8
Nikola Jović,MIA,46,0.5,4.6,1,0.5,0.2,0.4,52.6,55.3,4.5,9.1,4.5,0,50,75.8
Jarace Walker,IND,75,0.3,4.3,1,0.3,0.1,0.2,43.8,53.1,15,10,5,5,45,75.8
Jonathan Mogbo,TOR,63,0.3,3.5,1,0.3,0.1,0.2,53.8,53.8,12.5,12.5,12.5,6.3,50,75.8
Jalen Hood-Schifino,PHI,13,1.2,12.2,1,1.2,0.5,0.9,50,58.3,6.7,13.3,6.7,0,46.7,75.8
Bogdan Bogdanović,LAC,30,0.5,4.7,1,0.5,0.2,0.4,46.2,50,6.7,6.7,6.7,0,46.7,75.8
Bruce Brown,NOP,23,0.5,5.6,1,0.5,0.2,0.5,45.5,50,8.3,0,8.3,0,50,75.8
Peyton Watson,DEN,68,0.2,2.2,1,0.2,0.1,0.1,50,50,16.7,0,16.7,0,58.3,75.8
Kentavious Caldwell-Pope,ORL,77,0.2,1.9,1,0.2,0.1,0.1,45.5,50,8.3,8.3,8.3,8.3,41.7,75.8
Caleb Martin,DAL,14,0.8,11.2,1,0.8,0.4,0.6,55.6,55.6,9.1,9.1,9.1,0,54.5,75.8
Eric Gordon,PHI,39,0.3,4.3,1,0.3,0.1,0.2,44.4,55.6,9.1,9.1,9.1,0,45.5,75.8
Nikola Jokić,DEN,70,1.3,4.9,0.99,1.2,0.5,1,50,50,14.8,10.2,11.4,4.5,50,71.2
Bobby Portis,MIL,49,0.8,6,0.98,0.8,0.4,0.8,48.7,48.7,2.4,2.4,2.4,0,48.8,70.7
Brice Sensabaugh,UTA,71,0.6,5.6,0.98,0.6,0.2,0.4,46.7,51.7,12.2,17.1,12.2,2.4,43.9,70.7
Shaedon Sharpe,POR,72,2.2,11.7,0.97,2.1,0.8,1.8,42.3,46.9,13.9,9.5,13.9,5.7,43,70.1
Paolo Banchero,ORL,46,5,18.9,0.97,4.8,1.7,3.8,44.3,47.7,20.5,8.3,19.7,4.8,47.6,69.7
Jamal Shead,TOR,75,0.4,5,0.97,0.4,0.2,0.3,52,54,9.4,15.6,9.4,3.1,46.9,69.4
Quentin Grimes,DAL,47,0.6,6.3,0.97,0.6,0.2,0.5,44,48,13.8,10.3,13.8,10.3,41.4,69
Jalen Williams,OKC,69,1.9,9.1,0.96,1.8,0.7,1.7,43,46.1,11.5,4.6,10.7,3.1,45,68.6
Caris LeVert,ATL,26,1,7.3,0.96,1,0.3,0.8,40,47.5,15.4,7.7,15.4,0,46.2,68.3
Dennis Schröder,BKN,23,3.3,18.1,0.96,3.1,1.1,2.6,41.7,47.5,10.7,10.7,10.7,1.3,42.7,67.8
Payton Pritchard,BOS,80,0.9,7.6,0.96,0.9,0.4,0.9,44.9,50.7,1.3,6.7,1.3,0,42.7,67.8
Ja Morant,MEM,50,4.3,17.8,0.96,4.1,1.5,3.2,45.1,48.1,18.1,12.6,17.7,6,45.6,67.2
Andrew Wiggins,GSW,43,1.1,6.4,0.96,1,0.4,0.9,43.2,45.9,17.4,6.5,17.4,4.3,47.8,66.7
Naji Marshall,DAL,69,0.7,5.1,0.96,0.6,0.2,0.5,43.8,43.8,19.6,13,17.4,2.2,47.8,66.7
Andrew Nembhard,IND,65,0.7,6.2,0.95,0.6,0.2,0.5,44.1,45.6,18.2,11.4,18.2,6.8,45.5,66.1
Josh Hart,NYK,77,0.5,3.9,0.95,0.5,0.2,0.4,44.1,47.1,10,10,10,5,42.5,65.6
Jared Butler,WAS,32,0.6,9.2,0.95,0.6,0.2,0.5,41.2,44.1,15,10,10,10,40,65.6
Fred VanVleet,HOU,60,1,6.4,0.95,0.9,0.3,0.8,40.8,49,8.6,6.9,6.9,0,41.4,64.9
Kevin Porter Jr.,MIL,30,1.2,11,0.95,1.2,0.3,1,34.5,39.7,18.9,8.1,16.2,5.4,40.5,64.6
DeMar DeRozan,SAC,77,3.4,16.2,0.94,3.2,1.1,2.7,39.8,40.5,18.2,3.9,18.2,3.9,46.1,64.2
Jeff Dowtin Jr.,PHI,41,1.2,19.2,0.94,1.2,0.4,1,43.9,47.6,15.7,5.9,11.8,2,45.1,63.8
Jalen Suggs,ORL,35,1.4,7.6,0.94,1.3,0.4,1.1,39.5,40.8,18.8,8.3,12.5,6.3,43.8,63.3
Derrick White,BOS,76,0.6,4.1,0.94,0.6,0.2,0.5,41,46.2,12.5,8.3,10.4,2.1,43.8,63.3
CJ McCollum,NOP,56,1.4,6.6,0.94,1.3,0.5,1.2,41.5,45.4,10.3,9,10.3,2.6,42.3,62.7
